number,value,datetime_start,datetime_complete,duration,params_baggingFraction,params_baggingFreq,params_featureFraction,params_lambdaL1,params_lambdaL2,params_learningRate,params_maxBin,params_maxDepth,params_minDataInLeaf,params_minGainToSplit,params_numLeaves,user_attrs_best_iteration,user_attrs_fit_seconds,user_attrs_test_auc,user_attrs_valid_auc,system_attrs_fixed_params,state
0,0.6890976538219796,2026-05-25 02:29:03.331099,2026-05-25 02:29:09.737687,0 days 00:00:06.406588,1.0,0,1.0,1e-08,1e-08,0.05,127,-1,20,0.0,31,26,6.272672653198242,0.6990608681070274,0.6890976538219796,"{'learningRate': 0.05, 'numLeaves': 31, 'maxDepth': -1, 'minDataInLeaf': 20, 'baggingFraction': 1.0, 'baggingFreq': 0, 'featureFraction': 1.0, 'lambdaL1': 1e-08, 'lambdaL2': 1e-08, 'minGainToSplit': 0.0, 'maxBin': 127}",COMPLETE
1,0.690488421080962,2026-05-25 02:29:09.815850,2026-05-25 02:29:15.955765,0 days 00:00:06.139915,0.7545474901621302,3,0.7873687420594125,0.0032112643094417484,1.8007140198129195e-07,0.030710573677773714,255,6,50,0.29214464853521815,15,179,6.0388946533203125,0.7012371189113665,0.690488421080962,,COMPLETE
2,0.690427516646632,2026-05-25 02:29:16.049431,2026-05-25 02:29:22.484097,0 days 00:00:06.434666,0.7366114704534336,3,0.8987566853061946,6.388511557344611e-06,0.0004793052550782129,0.018187859051288217,127,8,100,0.5467102793432796,127,66,6.3472583293914795,0.6965595416023763,0.690427516646632,,COMPLETE
3,0.6885001523190901,2026-05-25 02:29:22.547818,2026-05-25 02:29:28.448108,0 days 00:00:05.900290,0.7422772674924287,3,0.7596147044602517,1.1212412169964432e-08,0.2183498289760726,0.16684619386293467,127,8,20,0.7068573438476171,63,28,5.805086135864258,0.6944190520043955,0.6885001523190901,,COMPLETE
4,0.6896957933713235,2026-05-25 02:29:28.535688,2026-05-25 02:29:34.318240,0 days 00:00:05.782552,0.9282355145850693,1,0.8282623055075649,1.6934490731313353e-08,9.354548757337708e-08,0.029266761285490727,63,8,20,0.03142918568673425,31,85,5.689306735992432,0.6986841949173479,0.6896957933713235,,COMPLETE
5,0.6855908344974782,2026-05-25 02:29:34.399559,2026-05-25 02:29:39.467211,0 days 00:00:05.067652,0.9677676995469933,3,0.733015577358303,1.1256839212661599e-06,6.98184330520185e-05,0.15162513677579237,63,8,50,0.8180147659224931,63,-1,4.970598220825195,0.6895244312384561,0.6855908344974782,,COMPLETE
6,0.6888312984291759,2026-05-25 02:29:39.557248,2026-05-25 02:29:45.685257,0 days 00:00:06.128009,0.7854521483132403,1,0.7835939392709834,1.49414578394363,1.4323759352560882e-06,0.0349191959934362,127,10,20,0.1448948720912231,127,45,6.039263010025024,0.6925765724594025,0.6888312984291759,,COMPLETE
7,0.6887951037939168,2026-05-25 02:29:45.771194,2026-05-25 02:29:50.929085,0 days 00:00:05.157891,0.9032693085526847,5,0.7523099287014974,0.016536349510675875,3.024252976134463e-05,0.07489770465258357,127,10,200,0.9367299887367345,15,-1,5.066644906997681,0.698500897139829,0.6887951037939168,,COMPLETE
8,0.688663492211541,2026-05-25 02:29:51.013689,2026-05-25 02:29:56.067656,0 days 00:00:05.053967,0.9177867036610718,0,0.7252419894985146,2.84877681966798e-07,1.2217650479327244,0.15960780836641722,255,10,20,0.6064290596595899,15,-1,4.955538511276245,0.7009248849969129,0.688663492211541,,COMPLETE
9,0.6922773873320168,2026-05-25 02:29:56.158603,2026-05-25 02:30:02.379765,0 days 00:00:06.221162,0.7281024303484277,5,0.817929317400028,1.0676256433841829,0.004789030842100622,0.010152786939077382,127,10,50,0.7948113035416484,63,86,6.122122287750244,0.6978105503736038,0.6922773873320168,,COMPLETE
10,0.6912568030253148,2026-05-25 02:30:02.475632,2026-05-25 02:30:09.060217,0 days 00:00:06.584585,0.8241044824092549,5,0.8963129568312259,6.1485527530135275,0.023806164285320935,0.010635319756042967,63,4,50,0.3796042434202234,63,531,6.442964553833008,0.6996602858155392,0.6912568030253148,,COMPLETE
11,0.6908400426818275,2026-05-25 02:30:09.180106,2026-05-25 02:30:15.884629,0 days 00:00:06.704523,0.8389281361804277,5,0.9000095201883543,4.847169674461222,0.01057554620663207,0.010139696243690769,63,4,50,0.3597884025410542,63,549,6.591986656188965,0.7005252923867328,0.6908400426818275,,COMPLETE
12,0.6905348244594993,2026-05-25 02:30:15.970795,2026-05-25 02:30:22.618551,0 days 00:00:06.647756,0.8114612033739752,5,0.8793664694036893,0.16652984758777797,0.005381999121084556,0.011089719239654164,63,4,50,0.3895281539258071,63,561,6.5388572216033936,0.699569299171342,0.6905348244594993,,COMPLETE
13,0.6915585409942528,2026-05-25 02:30:22.698580,2026-05-25 02:30:28.985638,0 days 00:00:06.287058,0.7094800550987079,5,0.9638841780179537,9.884856264438735,0.038408157601027025,0.01749546809142464,63,4,50,0.7184165518717739,63,439,6.174792766571045,0.6994668528168948,0.6915585409942528,,COMPLETE
14,0.6924362608992835,2026-05-25 02:30:29.069787,2026-05-25 02:30:35.281113,0 days 00:00:06.211326,0.7032967567731313,5,0.9702413803482914,0.0001504868197821194,9.26053174455219,0.018202458770676427,255,6,200,0.977266465595078,63,244,6.107767820358276,0.6975140951556754,0.6924362608992835,,COMPLETE
